utm,lon,lat,east,north
9H,-129,-36,500000.0,-3983948.4533356656
9J,-129,-28,500000.0,-3097202.370688265
9K,-129,-20,500000.0,-2211481.307669964
9L,-129,-12,500000.0,-1326553.6358056443
9M,-129,-4,500000.0,-442127.3902531092
9N,-129,4,500000.0,442127.3902531092
9P,-129,12,500000.0,1326553.6358056443
9Q,-129,20,500000.0,2211481.307669964
9R,-129,28,500000.0,3097202.370688265
9S,-129,36,500000.0,3983948.4533356656
9T,-129,44,500000.0,4871872.840767047
9U,-129,52,500000.0,5761038.212590415
9V,-129,60,500000.0,6651411.190362714
9W,-129,68,500000.0,7542864.29720695
9X,-129,76,500000.0,8435185.36883611
10C,-123,-76,500000.0,-8435185.36883611
10D,-123,-68,500000.0,-7542864.29720695
10E,-123,-60,500000.0,-6651411.190362714
10F,-123,-52,500000.0,-5761038.212590415
10G,-123,-44,500000.0,-4871872.840767047
10H,-123,-36,500000.0,-3983948.4533356656
10J,-123,-28,500000.0,-3097202.370688265
10K,-123,-20,500000.0,-2211481.307669964
10L,-123,-12,500000.0,-1326553.6358056443
10M,-123,-4,500000.0,-442127.3902531092
10N,-123,4,500000.0,442127.3902531092
10P,-123,12,500000.0,1326553.6358056443
10Q,-123,20,500000.0,2211481.307669964
10R,-123,28,500000.0,3097202.370688265
10S,-123,36,500000.0,3983948.4533356656
10T,-123,44,500000.0,4871872.840767047
10U,-123,52,500000.0,5761038.212590415
10V,-123,60,500000.0,6651411.190362714
10W,-123,68,500000.0,7542864.29720695
10X,-123,76,500000.0,8435185.36883611
11C,-117,-76,500000.0,-8435185.36883611
11D,-117,-68,500000.0,-7542864.29720695
11E,-117,-60,500000.0,-6651411.190362714
11F,-117,-52,500000.0,-5761038.212590415
11G,-117,-44,500000.0,-4871872.840767047
11H,-117,-36,500000.0,-3983948.4533356656
11J,-117,-28,500000.0,-3097202.370688265
11K,-117,-20,500000.0,-2211481.307669964
11L,-117,-12,500000.0,-1326553.6358056443
11M,-117,-4,500000.0,-442127.3902531092
11N,-117,4,500000.0,442127.3902531092
11P,-117,12,500000.0,1326553.6358056443
11Q,-117,20,500000.0,2211481.307669964
11R,-117,28,500000.0,3097202.370688265
11S,-117,36,500000.0,3983948.4533356656
11T,-117,44,500000.0,4871872.840767047
11U,-117,52,500000.0,5761038.212590415
11V,-117,60,500000.0,6651411.190362714
11W,-117,68,500000.0,7542864.29720695
11X,-117,76,500000.0,8435185.36883611
12C,-111,-76,500000.0,-8435185.36883611
12D,-111,-68,500000.0,-7542864.29720695
12E,-111,-60,500000.0,-6651411.190362714
12F,-111,-52,500000.0,-5761038.212590415
12G,-111,-44,500000.0,-4871872.840767047
12H,-111,-36,500000.0,-3983948.4533356656
12J,-111,-28,500000.0,-3097202.370688265
12K,-111,-20,500000.0,-2211481.307669964
12L,-111,-12,500000.0,-1326553.6358056443
12M,-111,-4,500000.0,-442127.3902531092
12N,-111,4,500000.0,442127.3902531092
12P,-111,12,500000.0,1326553.6358056443
12Q,-111,20,500000.0,2211481.307669964
12R,-111,28,500000.0,3097202.370688265
12S,-111,36,500000.0,3983948.4533356656
12T,-111,44,500000.0,4871872.840767047
12U,-111,52,500000.0,5761038.212590415
12V,-111,60,500000.0,6651411.190362714
12W,-111,68,500000.0,7542864.29720695
12X,-111,76,500000.0,8435185.36883611
13C,-105,-76,499999.99999999965,-8435185.36883611
13D,-105,-68,499999.9999999995,-7542864.29720695
13E,-105,-60,499999.9999999993,-6651411.190362714
13F,-105,-52,499999.9999999991,-5761038.212590415
13G,-105,-44,499999.99999999895,-4871872.840767047
13H,-105,-36,499999.99999999884,-3983948.4533356656
13J,-105,-28,499999.9999999988,-3097202.370688265
13K,-105,-20,499999.99999999866,-2211481.307669964
13L,-105,-12,499999.9999999986,-1326553.6358056443
13M,-105,-4,499999.9999999986,-442127.3902531092
13N,-105,4,499999.9999999986,442127.3902531092
13P,-105,12,499999.9999999986,1326553.6358056443
13Q,-105,20,499999.99999999866,2211481.307669964
13R,-105,28,499999.9999999988,3097202.370688265
13S,-105,36,499999.99999999884,3983948.4533356656
13T,-105,44,499999.99999999895,4871872.840767047
13U,-105,52,499999.9999999991,5761038.212590415
13V,-105,60,499999.9999999993,6651411.190362714
13W,-105,68,499999.9999999995,7542864.29720695
13X,-105,76,499999.99999999965,8435185.36883611
14C,-99,-76,500000.0,-8435185.36883611
14D,-99,-68,500000.0,-7542864.29720695
14E,-99,-60,500000.0,-6651411.190362714
14F,-99,-52,500000.0,-5761038.212590415
