input|output,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
13,900993.8084750952,322616.0662716605,123296.7940978678,108604.75651892278,163207.32017194026,829371.1327305444,165355.54711479045,162062.65941027968,217402.6034516297,188800.7507501356,142494.2066513641,1217391.9608701626,4693308.498791433,2768139.8382689827,586972.1443010813,641646.277214599,555290.3761148057,955698.5973048343,3270068.608623506,399073.2047521674,316283.00213927263,0.0,163399.33177968033,8577.799432445165,17193.742351577836,30577593.043165877,203829.9666924136,53134.255529588176,13363.906261514936,212002.07305215765,186613.08039554293,85176.90683720808,871873.9711044049,32083.234796951027,683.9583014339853,35200.57850014027,254396.2763582328,260161.95694387497,350764.14624978043,108124.74290307911,80269.08372295968,229223.05174975563
14,324204.62171209225,1659287.9390063256,599255.7442464249,315200.05909796094,113735.99725306297,258739.8445196561,98977.69325739112,143017.3069578585,703493.8132020438,715263.9196570411,387273.47419583384,1737122.4843130969,1496114.000704666,46442739.729879856,20305404.679704815,22780086.101607636,10247128.523769185,14067509.911138382,2361579.0458036894,1086670.0411090686,1273120.227866581,0.0,203597.597963301,9982.718293111991,11583.616107715981,32474105.08125658,513157.0884257331,9852.517453988827,5551.82178843779,98219.39700590346,9054.805794826423,0.0,207261.14884141035,31808.32611715265,211.53770965429985,50455.60382028847,146014.36712719835,191968.6267793427,86980.92459007053,8195.12962315398,15431.806782166781,0.0
15,838499.7976727027,754646.0321661341,254288.48159865037,298020.09042667365,132654.53353632812,1009166.6366942754,161845.9756678132,264132.2912993037,799996.4014083401,934743.4074689157,191501.5615197597,1670130.910567091,1530021.6755090652,1449565.552664916,6876566.935413394,4634937.998738264,1613267.3300742279,2972076.805305509,2579082.1459688065,637882.8338052693,920668.8963628155,0.0,367282.6848129317,22803.070931233302,169989.17879784145,14438641.94904194,300480.23155937507,4850.499652880945,528688.9340380324,515290.4860170055,150083.77040022652,146753.6969423963,216273.57134697956,940944.091245549,387.9254980516861,152309.21547831423,267738.6656655386,172515.8800442067,200971.22655340095,87854.45326733775,29654.794750469628,646758.5222713207
16,2245403.58431932,1471976.093230565,817769.547607136,595518.0522684632,693386.8417430826,512793.0273719967,1433526.249811832,284385.3841867609,394745.07717758126,835287.7057743149,736371.2966502581,2509763.402570628,2020435.4552359558,3989101.5716148457,1029420.7268602292,23463939.878758173,8291718.442377405,3197376.6277954336,1626558.7174655935,514442.7284895551,146108.11833454017,0.0,2883745.5565730417,95364.55812396893,155707.64599776882,12578769.27447917,3370962.987498852,220373.76873200305,813745.4127934249,2721953.8435068484,128251.45499944041,624940.3104801967,526927.579811522,1053873.9558774878,6768.806610352587,189166.939007063,565234.4749334048,429541.43158187176,502050.07354881946,1336976.2057524652,73714.92595303501,141920.46723197942
17,1255199.0055500055,327626.5132957384,280906.6814779545,268197.5347645271,330075.46709605266,382824.09021083097,182760.1082185661,96916.05872685248,182293.59877501224,493797.58512599586,182446.61999197814,598287.1229087149,146633.96050056233,1096339.304791655,252434.5515296221,1541032.5195272004,27570572.9081258,361440.6032745412,372040.27362572454,88837.38085485001,71803.29112940445,0.0,614015.270878674,65018.40314298602,75633.82246258906,1035080.1141311618,9371521.691956893,244990.47927401063,1240333.3200923442,5241064.757647804,57553.40921498978,515159.93052971445,623535.1626495884,1442281.3093536606,45920.61275278415,55737.46223769664,199202.99548733176,1576181.7156912033,420241.3561572926,43471.1216191652,228880.47049615165,1728985.7855035712
18,250985.2793386651,817539.9005369161,485014.353240735,112811.52740708757,137881.25196916715,177297.63313458776,294850.87987050245,124145.07654147097,145027.9330199586,332153.6640092421,370555.98845025775,845374.8496933992,370224.5435323742,877428.4531962608,333446.0516490315,5372958.791429401,2154520.5678967154,6900409.630667821,8647445.350988239,937219.0716705376,141139.28892491636,0.0,2356598.143901191,14136.216971914357,39522.86689858153,8329847.757014388,484827.1812507566,28895.531911124457,3763971.6657565716,2455529.288458155,417695.7903785149,179434.58851699234,617802.8493787452,1789616.9721174797,2148.705231019442,407738.80581860256,105456.787317109,239602.1088254649,308232.90549224534,85109.66297056203,76282.5731699206,161053.87611964613
19,106710.25641030801,111284.11368870352,123699.9506255703,43938.610656764984,40302.64135903767,100757.10251175397,186415.16945432493,138660.74647461748,63023.582188827175,713103.8337584622,158471.36586614719,664316.3926629403,231607.5181633505,199060.61679517393,143614.97926155158,2639487.227228099,574222.2500552298,2317218.348321314,58809892.1223899,3246037.822756125,94955.21805118892,0.0,355928.7395020296,9879.360065111072,27223.617382722026,787760.1621933387,439131.0634089794,59258.52314562821,5979498.373180969,2995431.596719786,52036.420448427045,808617.0268768274,52146.87304158323,7540734.414871392,2698.6203752634337,921524.1311779316,456939.6522727169,856755.6996690258,439029.78988336667,83800.80483032043,138930.1957179248,396433.8561323129
20,106543.15665431344,214325.17572213933,333218.3887463609,59995.0680184681,40566.38083128337,94909.71180818781,86123.11978614709,101844.14376300345,71765.79626507891,146736.91933558014,115920.6282757174,770414.035539559,172011.67726918744,324473.1529130212,97081.42503955799,578790.1058122923,445558.39183018735,355613.40187735524,320213.95491863514,1029544.7339852296,43813.723819008024,0.0,1198088.3955674788,12783.22383920732,25828.999228745604,3220256.870428484,218105.57504038748,4232.1282173296695,1293189.2102500144,199074.3058262988,4552.276484441489,523328.7649358398,24718.28824761632,57280.86617479069,10658.727773806944,169912.17325020017,182828.93955030618,918223.6409597305,548095.6871879555,217314.889610576,68349.47929657143,246261.50883394352
21,359866.003455798,162401.81425978668,40848.470599238615,64315.741831403495,91772.32974374415,197258.39356735974,270393.4473908639,215362.42834156088,141826.6449082996,310679.2928228721,64961.123412343586,561872.1991432497,218559.70357727326,580589.1719456424,234044.39513946505,568273.325019346,230401.6146621515,380825.32161282643,278020.7667169932,63836.71518143133,1208229.9498735778,0.0,37810.63703108644,15678.846355129022,28657.066674800797,1429557.5662326757,178220.77894878178,14957.458843834705,105296.83470182077,254409.2878318147,197340.0589366598,60466.64550717143,13596.598849981934,158959.40851342096,2413.9792388260917,35401.67614481323,58678.10355860166,480699.626751435,156096.12617649738,94941.41211940903,42335.543142339186,185173.8076104111
22,309.09174870179527,310.76638541010436,393.4813463633684,611.7787883931104,764.9325393944887,38188.17892751106,5348.95166119617,3919.76325349299,19562.222975743753,1269534.4278361967,9599.920307853694,103693.78754220289,238432.15420400392,5786935.280374843,91662.2456295063,504013.0907875125,40693.648387251706,22072.481588015275,66032.62019356775,2960.2619593963595,24572.871534114918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,3222615.5058190897,2682315.286864163,1517527.7535521914,1541600.181920668,775673.23789449,1479880.235934861,1992800.9199389918,458823.3148307025,902230.2855811766,1456956.9719377302,1308057.109920438,9922346.771900572,3470837.2803395647,8023314.884202848,2332943.7695925417,2913249.59155484,1204017.605258736,928102.0816585082,1141058.538641719,157798.51914594154,343236.16869570117,0.0,2603996.7750900825,180787.3646999228,1029481.3182699023,3853960.997837295,1787159.6675892568,107409.66873640918,1249128.7813466561,2859295.062995008,1456908.3990816285,709712.5580354003,453520.41204771027,428110.65944729693,29357.34198456909,154520.43557675232,242189.33754852525,705850.9441545318,2036099.401761531,551409.6480839103,182726.57733659574,1207363.8096787578
24,8654.961749757395,315.3206907283515,31526.46454874192,18601.790051947923,8539.25370904084,59722.414459126514,21434.60379202477,7819.150375845185,7821.4566948073625,14574.465974718354,43107.78069332024,115708.11551299272,78101.08846546077,159013.38676829185,10054.80204957843,44280.083732058614,45494.023748172476,57561.33219084155,36905.08726828895,7838.8801787917255,24573.712201256392,0.0,61995.75685252902,164212.34888898168,19271.833691137555,32010.981528234457,148742.01004022214,6454.223734005622,27908.390652713602,86792.93292917055,190189.62737628055,11487.093586237075,27915.598994174026,32616.014013292555,1126.9970213339122,1944.5419720276523,6302.376483055977,79814.28699239742,59243.73130165978,18075.816745045442,22588.22718267826,35748.28444576581
25,87587.03052915135,47912.89780665444,38343.19620516955,36846.243906313604,35766.126730460346,121725.72187192334,92500.86451797698,38252.85907089678,54164.18821657488,141923.05296308844,99119.3291236542,393220.77836399985,102031.9219834285,229527.55220613806,79640.66906293969,124911.58430318724,115223.75492970375,73701.19118315191,93466.9388147796,25414.418310821362,20210.9780015897,0.0,187024.7791135371,17002.95692410569,234701.74395697098,313541.6179488513,191322.28695731764,18503.17785232578,132282.3345331849,282325.45899619587,260933.2777154542,88392.65492974852,45504.58447856815,52840.01923315928,9785.663590416034,14201.25374722042,57342.92108493027,130677.28424946406,360792.7058143092,80949.22700870293,40614.618084993956,105509.60430888236
26,497113.2055062753,85337.21994450345,32601.529000061724,12922.184130755122,9713.66228029929,39328.09861204925,35182.64588398313,31237.75921339168,13015.091543526105,28406.010095893085,20215.293887730448,119141.61606747488,48679.52744787435,92260.13733606655,18179.770304587335,67686.28776652401,82869.54124993949,31336.574244714597,27988.337966281724,7689.75360717233,60105.73840164605,0.0,69376.02415965944,2028.0825581782788,8428.712345954767,338610.2088372597,1670104.8610970029,291795.3198115627,532086.9507240411,1183690.496504355,1121155.753148858,1115036.5428445493,2976867.1309057917,188773.45076210934,52516.80691487374,19456.63249946752,617253.7099761725,1122346.5386386735,3209874.1675413977,762155.9013158383,206776.59368401527,1565550.3138430626
27,6024147.550513677,1679454.301839963,462438.66949118447,539454.2547666865,1091611.93482476,3843278.3684932087,1697353.8440187494,1519118.2706298851,1812899.395267711,2423589.5216575726,2730872.966296302,7005026.17243708,3365340.9968219562,6530379.875120281,2134072.401867359,4109712.044717306,2184078.8130601933,2059089.6915318542,2296009.0855281046,460322.71323629643,550451.2340128989,0.0,3162178.5095345755,225614.54884022652,63338.16606171917,12734604.208790462,15849522.874022879,341304.91955363983,510354.7594165555,5243874.098069283,1116544.9638764416,1758405.6036527008,682323.2278727256,1131047.4471839976,1178178.0156786228,237830.38846378517,592190.0127406798,962196.2308144049,1731958.1855522448,333994.3417081664,528892.8992166346,3170166.715960647
